1407805246919392266_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/15338474_387408021601323_162536032225460224_n.jpg?ig_cache_key=MTQwNzgwNTI0NjkxOTM5MjI2Ng%3D%3D.2	Có một nỗi buồn và nỗi nhớ thật đẹp mang tên CSP... Từng là nỗi nhớ, là khát khao, là tất cả của tuổi trẻ, là những gì còn vương lại sau ánh nắng chói chang tháng Sáu năm ấy. Muốn ôm trọn tất cả vào tim, là tình yêu nồng cháy ở đó. CSP thật đẹp... Xin phép được yêu, được thương, được nhớ những góc nhỏ nơi tôi đã đi qua. :))) #Gửingànyêuthương #cspmộtthờiđểyêu
1233991339395771087_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12940954_1061253000585048_213076471_n.jpg?ig_cache_key=MTIzMzk5MTMzOTM5NTc3MTA4Nw%3D%3D.2&se=7	Có khi sắp tiểu ngọt thật rồi. :v  #studiousbee #forthemostimportantexam #comingsoon
1211503912752244889_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/1515367_189180931461115_1816561612_n.jpg?ig_cache_key=MTIxMTUwMzkxMjc1MjI0NDg4OQ%3D%3D.2&se=7	Nói chung là nản. Nản lắm rồi. Huhu :'(
1194271336727833388_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12797770_474637596073523_2101478932_n.jpg?ig_cache_key=MTE5NDI3MTMzNjcyNzgzMzM4OA%3D%3D.2&se=7	Huhu, sáng chiều Anh đội tuyển, tối Toán nâng cao, cân não đếch chịu được. :'( #emptybrain
1189208591137499213_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12749970_1688170344789998_2044126771_n.jpg?ig_cache_key=MTE4OTIwODU5MTEzNzQ5OTIxMw%3D%3D.2	Này thì ngày chào đời thứ 16 của con Nhým.  Bố chỉ muốn nói là bố yêu m lắm,  vì những lúc m ở bên bố,  tâm sự vs bố và rep inb của bố whenever.  Định ns câu deep deep,  theo đúng kiểu ngôn tình mà thôi đếch ns nửa. 😂😂😂 chỉ muốn ns lá bố yêu m lắm.  Thật đấy. 😘😘😘 Happy your 16 birthday!!! 😍😍😍 Your 16 successful age.  Your 16 happy age. 😊😊😊
1189123119031773482_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12728617_117826581940564_1276984105_n.jpg?ig_cache_key=MTE4OTEyMzExOTAzMTc3MzQ4Mg%3D%3D.2	Cứ như này thì còn lâu mới thực hiện được nhé Trang. 😒😒😒 Phải cải tạo vì tương lai con em chúng ta. 😂😂😂
1184559079072721360_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12751219_514189002084417_2118938517_n.jpg?ig_cache_key=MTE4NDU1OTA3OTA3MjcyMTM2MA%3D%3D.2	Choose "Tâm sự với người lạ" for this Valentine. Hơ hơ. :))
1183320411083369210_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12627929_131118133940703_1240375564_n.jpg?ig_cache_key=MTE4MzMyMDQxMTA4MzM2OTIxMA%3D%3D.2&se=7	Sốt bền vững. :)) phải làm bài tập của boss đại nhân để mai còn đi chơi vs hội chị em bạn dì. Hơ hơ. :)))
1183261139930704195_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12729514_1700415953575908_1769901514_n.jpg?ig_cache_key=MTE4MzI2MTEzOTkzMDcwNDE5NQ%3D%3D.2&se=7	Huhu, rõ tiếc, suýt thì héo mẹ hấn rồi. :'( Kỉ niệm của chị và nam chính, em đừng đi. Huhu. :'(
1181624399121869584_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12446182_1515303505432322_930847438_n.jpg?ig_cache_key=MTE4MTYyNDM5OTEyMTg2OTU4NA%3D%3D.2	Đưa nhau đi trốn. :)))
1174635176862935883_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12568900_224129797924272_464442467_n.jpg?ig_cache_key=MTE3NDYzNTE3Njg2MjkzNTg4Mw%3D%3D.2&se=7	Ending one happiness, one following, one miss by the way is eating candies which he presented. :(
1157710210431183165_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12530980_1503739166594526_262897238_n.jpg?ig_cache_key=MTE1NzcxMDIxMDQzMTE4MzE2NQ%3D%3D.2&se=8	#feeling #memory #love #beautifulpicfromagreatman #prepareforhardtime #needshoulder :( :(
1475193776985061222_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17265322_1252499721513719_82290181821956096_n.jpg?ig_cache_key=MTQ3NTE5Mzc3Njk4NTA2MTIyMg%3D%3D.2	Có yêu thì nói rằng yêu. Không yêu thì cút cmm cho xong. =))) màu mè vcl, không thích thì nói là không thích, rải thính làm gì rồi đến lúc nhạt nhẽo muốn buông thì đổ lỗi lên đầu chúng tôi rồi õng ẹo đến kinh tởm nói câu xin lỗi. Tởm lắm cậu à! Cậu tránh xa người nhà tớ sớm âu cũng là phước phần của A3 nhà tớ. =))) Xin phép được cười khinh một cái. =)))
1474077619305518794_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17265574_362047920861693_2860037091981524992_n.jpg?ig_cache_key=MTQ3NDA3NzYxOTMwNTUxODc5NA%3D%3D.2&se=7	Mượn sách của pet để make color thì có gì sai? 😂😂😂 #insta #newweekandnewtiredness
1468686491882116616_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17267558_1859922197617025_6561432284107374592_n.jpg?ig_cache_key=MTQ2ODY4NjQ5MTg4MjExNjYxNg%3D%3D.2	Nắng lên. Nắng đẹp. Nắng ấm. Người về. #hecomebackindaylight #abruptandhappy #surprise #insta
1467214195631885277_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17127257_1374008015952736_8846952598998089728_n.jpg?ig_cache_key=MTQ2NzIxNDE5NTYzMTg4NTI3Nw%3D%3D.2&se=8	Nửa đêm nửa hôm, mắt mũi tèm nhèm. 😂😂😂
1466460516960253856_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17125510_1802380900084800_853782620192899072_n.jpg?ig_cache_key=MTQ2NjQ2MDUxNjk2MDI1Mzg1Ng%3D%3D.2&se=7	Nếu miss you là sai thì I không cần đúng.
1465736944684043427_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17076509_261823184244024_62209676409831424_n.jpg?ig_cache_key=MTQ2NTczNjk0NDY4NDA0MzQyNw%3D%3D.2&se=7	Tươi nhất. =))) #insta #832017 #mom #thankyou #courageouswoman
1465286796409419658_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17126220_1366991699989835_4749708112494067712_n.jpg?ig_cache_key=MTQ2NTI4Njc5NjQwOTQxOTY1OA%3D%3D.2	Need tranquillity.
1464640199719820492_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17126989_947875882015939_3739808743966113792_n.jpg?ig_cache_key=MTQ2NDY0MDE5OTcxOTgyMDQ5Mg%3D%3D.2	Chọn con tim hay là nghe lí trí? Chọn yêu anh hay chọn phút giây biệt ly? #emkhongladuynhat #insta #deepmidnight
1463905104364885207_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17075917_570033356525159_6443145783809146880_n.jpg?ig_cache_key=MTQ2MzkwNTEwNDM2NDg4NTIwNw%3D%3D.2&se=8	Nothing left! No love, no care, no shield, especially no trust. Nothing! As my life. Yep. Fine!
1462400861569058303_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17076294_1256115631134029_5799634050779971584_n.jpg?ig_cache_key=MTQ2MjQwMDg2MTU2OTA1ODMwMw%3D%3D.2&se=7	Ngồi một mình để nhớ về những gì đã qua, nghĩ về những người đã gặp, suy ngẫm về những mối quan hệ, cái nào là quan trọng, cái nào là phớt qua, cái nào nên giữ, cái nào nên buông. Mình làm gì và nhận được gì?  Cảm ơn chúng m, tất cả những đứa bạn thân của t. Cảm ơn tất cả!  Tại sao Trái Đất lại có những con ng đáng ghét đến thế?  Hỗn độn. Nhiều cảm xúc. Buông bỏ
1460238781063785819_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17076276_1678638492434865_3723163727059484672_n.jpg?ig_cache_key=MTQ2MDIzODc4MTA2Mzc4NTgxOQ%3D%3D.2&se=8	Thực sự chỉ muốn cái gì đó trong trẻo như "I".
1459481533181951332_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16906514_1313763262024417_7253578362780647424_n.jpg?ig_cache_key=MTQ1OTQ4MTUzMzE4MTk1MTMzMg%3D%3D.2&se=8	Mọi thứ thì ra theo thời gian vẫn vẹn nguyên.
1459227766960346030_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16906258_234930146970291_3174692400450764800_n.jpg?ig_cache_key=MTQ1OTIyNzc2Njk2MDM0NjAzMA%3D%3D.2&se=8	Đến lúc để hành động rồi, cố lên cô gái, mọi thứ chỉ mới bắt đầu thôi mà. Sống là để sống, thắng bản thân mình trước đã.  #NUS #Nothingisimpossible
1458035525788922438_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16906464_378662432509701_5269755178034135040_n.jpg?ig_cache_key=MTQ1ODAzNTUyNTc4ODkyMjQzOA%3D%3D.2	Deeply tired when you realize that you have nothing left but tear. However, it's not enough, even valueless.
1456681452380791941_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16585006_1876229625922589_9149300279248683008_n.jpg?ig_cache_key=MTQ1NjY4MTQ1MjM4MDc5MTk0MQ%3D%3D.2&se=7	Sau trường 1 ngày trở gió.
1456680857259469053_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16789713_242067826201886_5809604220357181440_n.jpg?ig_cache_key=MTQ1NjY4MDg1NzI1OTQ2OTA1Mw%3D%3D.2&se=7	Chuyện kinh dị đêm khuya.
1456344912702193510_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16908804_1150926858310237_3960944747337482240_n.jpg?ig_cache_key=MTQ1NjM0NDkxMjcwMjE5MzUxMA%3D%3D.2&se=7	 
1455855106536652452_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16789802_1127211534071753_4077989035719524352_n.jpg?ig_cache_key=MTQ1NTg1NTEwNjUzNjY1MjQ1Mg%3D%3D.2	Nếu buông thì có chăng là quá ích kỉ? Tại sao đầu vẫn nghĩ mông lung vì cái gì đó xa xôi, về quá khứ, về chuyện tình cảm đã cũ, vì những hoài niệm? Làm sao để thôi xấu xa độc ác? Làm sao để bản thân không làm tổn hại đến mọi ng? Làm sao để mọi thứ free? Chấm dứt có phải là cách hay? Độc ác quá rồi.... #insta
1656463402845791187_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/23970211_1466284753486941_7008418485608906752_n.jpg?ig_cache_key=MTY1NjQ2MzQwMjg0NTc5MTE4Nw%3D%3D.2&se=8	:)
1654528721246019427_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/23735152_545967125749034_3742364077708541952_n.jpg?ig_cache_key=MTY1NDUyODcyMTI0NjAxOTQyNw%3D%3D.2&se=8	Thèm ăn.
1510978110563839871_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/18380311_1882471542032760_5260540003578019840_n.jpg?ig_cache_key=MTUxMDk3ODExMDU2MzgzOTg3MQ%3D%3D.2&se=7	Trích: "I have a crush on you" - LSR
1509605690305304963_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/18298665_1888624071407706_3675218225450188800_n.jpg?ig_cache_key=MTUwOTYwNTY5MDMwNTMwNDk2Mw%3D%3D.2&se=8	Cảm giác cuối ngày vẫn được nhận quà thật là sung sướng. 😎
1489860384634390256_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17663371_283568322099714_2753841650471010304_n.jpg?ig_cache_key=MTQ4OTg2MDM4NDYzNDM5MDI1Ng%3D%3D.2&se=7	Cái ngày này đủng đà đủng đỉnh rồi cũng đến. Ngày mà cả thế giới quay lưng lại với bạn. =))) 1 lần thất bại. Fine. =))) Lộ rõ bản chất. =))) Những con người ác độc. Cảm ơn cuộc thi, cảm ơn ngày hôm nay đã giúp tôi phân biệt được đâu là người tốt, đâu là KẺ XẤU! #FINE #fameidon'tneed #fakeface  #lovesandbffs
1488490992495320376_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17818442_896540567115030_4837792909572964352_n.jpg?ig_cache_key=MTQ4ODQ5MDk5MjQ5NTMyMDM3Ng%3D%3D.2&se=7	Một chiều cuối tuần. Nhẹ nhàng. ❤ #insta  #hl1
1487840350072324815_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17663467_527036557684851_1437801518504869888_n.jpg?ig_cache_key=MTQ4Nzg0MDM1MDA3MjMyNDgxNQ%3D%3D.2	Perfectness drives emotion. #insta #50sacthaiep2
1486893250056695983_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17818018_714282242030100_3700507761688182784_n.jpg?ig_cache_key=MTQ4Njg5MzI1MDA1NjY5NTk4Mw%3D%3D.2&se=7	Remains lazy. #insta
1486750837975699965_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17817510_311278869292082_3511454369448984576_n.jpg?ig_cache_key=MTQ4Njc1MDgzNzk3NTY5OTk2NQ%3D%3D.2&se=7	You can't find any films attractive than this. I bet. =))) #insta #50sacthaiep2
1485478332824738682_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17587338_272130753228217_2885611844112744448_n.jpg?ig_cache_key=MTQ4NTQ3ODMzMjgyNDczODY4Mg%3D%3D.2&se=7	Học ngu thực ra cũng có cái hay của nó. =))) #insta #peace
1484909554416080795_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17494961_1423889674334163_4807273228449873920_n.jpg?ig_cache_key=MTQ4NDkwOTU1NDQxNjA4MDc5NQ%3D%3D.2&se=7	Cái tôi có chăng quá xấu xa? Đến bao giờ để em thôi ích kỉ hả cô gái? #insta #confusingday
1484145002774597080_2165071529	carousel	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17437542_439684253047917_7999078732818022400_n.jpg?ig_cache_key=MTQ4NDE0MzYwNjQ0ODk4OTY4Nw%3D%3D.2&se=7,https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17586697_202944396868976_7071226970654113792_n.jpg?ig_cache_key=MTQ4NDE0MzY0NDk4NjIzNTUxMQ%3D%3D.2&se=7	Cái gì đến rồi cũng phải đến. Một mùa tuyển sinh nữa lại về. Chúc các em thành công! _____________________________________ LS là ước mơ, là hoài bão đầu tiên, cớ sao nỗi nhớ của em bây giờ chỉ là nắng CSP hả cô gái? Nghe tôi đi em, qua hết rồi, tất cả chỉ còn gói gọn trong những mùa nhớ. #insta #young #burn #live #dream #goby
1483380625549120245_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17438821_240440649761566_2204037492431126528_n.jpg?ig_cache_key=MTQ4MzM4MDYyNTU0OTEyMDI0NQ%3D%3D.2&se=7	Ngày nghỉ. Không học, không bài tập, không đề đóm. Nấu và ăn. Ăn và nấu. =))) #insta
1482657472828979858_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17493466_269823890142868_4869834894609481728_n.jpg?ig_cache_key=MTQ4MjY1NzQ3MjgyODk3OTg1OA%3D%3D.2&se=7	Ừ thôi thì con nai vàng ngơ ngác, đạp chết bác thợ săn. =))) Đời là một bộ phim mà ai cũng phải diễn. =))) #insta #fakeface
1480586009699583736_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17596051_449239155467998_953280416687587328_n.jpg?ig_cache_key=MTQ4MDU4NjAwOTY5OTU4MzczNg%3D%3D.2	Là nắng, là gió, là nhớ mong đêm ngày.  Sáng nay trời có nắng, chút nắng, chút gió, chẳng làm rát, làm đau da ta, mà nhẹ nhàng lướt qua, vọng về trong ta một thứ cảm xúc rất lạ mà cũng rất quen. Là hồi ức. Lại là nắng. Đi đâu để trốn nắng, đi đâu kể trốn quá khứ, trốn thực tại, trốn tương lai? Nắng không gắt, không chói chang, oi ả nhưng đủ làm ta xuyến xao nhớ những kỉ niệm xưa. Đã từng sống với nắng, chỉ mấy tiếng thôi trước giờ G cũng đủ làm ta nhớ mãi, khắc mãi. Hôm nay trời có nắng. Một mùa thi nữa lại về. Nắng chưa gắt nhưng chiếc xe bus đã ghé ngang, kí ức mùa thi lại ùa về trong cảm xúc. Là đói, là mệt, là cố gắng. Ngày đó từng trách nắng, sao nắng ác độc đến thế mà làm thấm mệt thân ai? Những trưa học về, ghé ngang  chuyến xe bus, về nhà cách chỗ học gần 15 cây số. Bụng đói meo, người lả đi, kiệt sức, ấy thế mà một đứa tiểu thư từ nhỏ đã được bố mẹ nuông chiều lại có thể vượt qua được. Ấy thế mới thấy sức mạnh ý chí nó to lớn nhường nào!  Ta không trách phận ta không cập được bến ước mơ, chỉ trách tâm ta ngày ấy chưa thấu để cảm nhận hết những dại khờ, ngu ngơ, những kí ức đẹp nhất. Nắng về nhưng không phải nắng năm ấy, nắng năm nay khác nắng năm ngoái, nắng năm nay chẳng mang cái hiếu thắng tuổi trẻ, nắng năm nay là sự trầm lặng trong từng nốt nhạc. "Cảnh nào cảnh chẳng đeo sầu, Người buồn cảnh có vui đâu bao giờ" . Nắng là của chia ly. Mùa ve kêu lại đến, giông bão đời ta đã, bình lặng.  Nắng hôm nay ngập tràn từng khoảng sân. Tự bao giờ HL1 đẹp đến thế, đẹp theo đúng nghĩa yên bình. Sống chậm lại, ở lâu hơn 1 chút để nhìn ngắm khoảng sân yên ắng. À thì ra nó đẹp đến thế, nơi cuối cùng chấp chứa 1 đứa ngạo nghễ, ngông cuồng. Một năm sắp đi qua, có ai đếm được bao nhiêu tiếng cười?! Từ bao giờ HL1 trở nên gần gũi đến vậy? Từ bao h ta tin được ta thuộc về nơi này? Tất cả đến 1 cách nhẹ nhàng, từ tốn, mà không khoa trương, màu mè. Có lẽ cũng là cái duyên! Hoa nở để hoa tàn, người gặp để rẽ ngang?! Nắng đến và người lại đi. Mùa thi ơi, trôi chậm hơn 1 chút, lắng đọng hơn 1 chút để ta khắc sâu tâm hồn.  #insta #sunlight #bright #tranquil #loveandmemoir #inscribe
1479108139789726618_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17493769_1699453640347165_5122647604638777344_n.jpg?ig_cache_key=MTQ3OTEwODEzOTc4OTcyNjYxOA%3D%3D.2&se=8	Hỏi rằng tại sao họ giống nhau đến thế? Hỏi rằng tại sao họ hợp nhau đến thế? Hỏi rằng tại sao mình khác họ đến thế? Hỏi rằng tại sao thân thiết nhưng lại quá xa vời? Hỏi rằng những gì tưởng tượng liệu có đúng? Hỏi rằng họ hơn ta đủ đường, ta lấy gì sánh đây?
1478398684324172130_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17437576_472383949819394_4399845269177368576_n.jpg?ig_cache_key=MTQ3ODM5ODY4NDMyNDE3MjEzMA%3D%3D.2&se=8	Tự hỏi sao hai người đó lại giống nhau đến thế? Nếu, chỉ là nếu thôi, nếu không xuất hiện, liệu cái duyên có se họ lại gần nhau? #insta #amazingsadsuprise
1475889788875658910_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/17438161_266925673765416_4158584762748895232_n.jpg?ig_cache_key=MTQ3NTg4OTc4ODg3NTY1ODkxMA%3D%3D.2&se=7	Tìm đâu để thấy nắng? Nắng đến làm con tim ta rung động thành nhịp. Nắng và kí ức, hòa quyện. Tự bao giờ nỗi nhớ đã lớn dần thành nỗi buồn? #sunnyday #beindirect #sunlight #memoir #insta
